sample_id,SampleID,pool_comp,,submitted_to_insdc,investigation_type,project_name,experimental_factor,lat_lon,geo_loc_name,collection_date,biome,feature,material,env_package,subspecf_gen_lin,samp_mat_process,samp_size,nucl_acid_ext,nucl_acid_amp,lib_size,lib_const_meth,target_gene,target_subfragment,sfffile_id,pcr_primers,mid,adapters,pcr_cond,seq_meth,seq_quality_check,chimera_check,url,host_common_name,host_taxid,Community,individuals,disease_stat,body_product,tot_mass,diet,family_relationship,genotype,host_color,perturbation,samp_store_temp
Trap-1_S1_L001_R1_001,Trap-01,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-1_S1_L001_R2_001,Trap-01,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-2_S2_L001_R1_001,Trap-02,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-2_S2_L001_R2_001,Trap-02,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-3_S3_L001_R1_001,Trap-03,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-3_S3_L001_R2_001,Trap-03,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-4_S4_L001_R1_001,Trap-04,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-4_S4_L001_R2_001,Trap-04,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-5_S5_L001_R1_001,Trap-05,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-5_S5_L001_R2_001,Trap-05,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
Trap-6_S6_L001_R1_001,Trap-06,NA,,F,Metabarcoding,Aphid Psylid Metabarcoding,O,,,10/11/2017,Potato field,Trap,Insect Sample,,,,,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,,,,,,Miseq,,DADA2,,,,,,,,,,,,,,-20
